month,sum_pnl_pips,trades,true_ratio,max_true_run_hours,mean_true_run_hours,p90_true_run_hours,true_runs_count
2025-01,-3.999999999996362,7,0.3583436957343427,5.719444444444444,0.0988634989723129,0.21944444444444444,1838
2025-02,-21.9999999999942,11,0.26975792417277755,8.41388888888889,0.19726610496752678,0.41944444444444445,633
2025-03,8.000000000004093,8,0.49033025204799713,11.477777777777778,0.10849524387775752,0.18888888888888888,2196
2025-04,-53.99999999999352,12,0.2867440014785662,11.894444444444444,0.15391573295985064,0.21055555555555544,952
2025-05,56.00000000000591,12,0.4012566430469442,11.08611111111111,0.10143157010915198,0.15166666666666706,1985
2025-06,78.0000000000058,12,0.5180307813050027,5.466666666666667,0.08167558321505258,0.1638888888888889,3053
2025-07,22.000000000011255,22,0.6467766848223722,4.366666666666666,0.06316692073170732,0.125,5248
2025-08,32.000000000005,10,0.33257769696389694,3.6694444444444443,0.051194159024785475,0.1111111111111111,3017
2025-09,6.000000000008754,17,0.46492224931614806,4.75,0.05333660901467505,0.09444444444444444,4240
2025-10,40.000000000009095,18,0.5682235354993328,4.836111111111111,0.050768414700615126,0.08888888888888889,5708
2025-11,-31.999999999993634,12,0.5683660556550938,5.655555555555556,0.04707951927268198,0.09444444444444444,5353
2025-12,60.000000000002274,5,0.43562520798009735,3.0527777777777776,0.041524681288139687,0.08333333333333333,1839
