month,sum_pnl_pips,trades,true_ratio,true_runs_count,mean_true_run_hours,p90_true_run_hours,max_true_run_hours,state
2025-01,-3.999999999996362,7,0.3583436957343427,1838,0.0988634989723129,0.2194444444444444,5.719444444444444,persistent_trend
2025-02,-21.9999999999942,11,0.2697579241727775,633,0.1972661049675267,0.4194444444444444,8.41388888888889,persistent_trend
2025-03,8.000000000004093,8,0.4903302520479971,2196,0.1084952438777575,0.1888888888888888,11.477777777777778,persistent_trend
2025-04,-53.99999999999352,12,0.2867440014785662,952,0.1539157329598506,0.2105555555555554,11.894444444444444,persistent_trend
2025-05,56.00000000000591,12,0.4012566430469442,1985,0.1014315701091519,0.151666666666667,11.08611111111111,persistent_trend
2025-06,78.0000000000058,12,0.5180307813050027,3053,0.0816755832150525,0.1638888888888889,5.466666666666667,persistent_trend
2025-07,22.000000000011255,22,0.6467766848223722,5248,0.0631669207317073,0.125,4.366666666666666,choppy_trend
2025-08,32.000000000005,10,0.3325776969638969,3017,0.0511941590247854,0.1111111111111111,3.669444444444444,choppy_trend
2025-09,6.000000000008754,17,0.464922249316148,4240,0.053336609014675,0.0944444444444444,4.75,choppy_trend
2025-10,40.000000000009095,18,0.5682235354993328,5708,0.0507684147006151,0.0888888888888888,4.836111111111111,choppy_trend
2025-11,-31.999999999993634,12,0.5683660556550938,5353,0.0470795192726819,0.0944444444444444,5.655555555555556,choppy_trend
2025-12,60.000000000002274,5,0.4356252079800973,1839,0.0415246812881396,0.0833333333333333,3.0527777777777776,persistent_trend
