month,session,trades,wins,losses,sum_pnl_pips,avg_pnl_pips,winrate
2024-01,W1,74,31,43,-57.99999999996146,-0.783783783783263,0.4189189189189189
2024-02,W1,57,21,36,-107.99999999996999,-1.8947368421047366,0.3684210526315789
2024-03,W1,60,19,41,-181.99999999996805,-3.0333333333328008,0.31666666666666665
2024-04,W1,35,17,18,24.000000000017963,0.685714285714799,0.4857142857142857
2024-05,W1,50,18,32,-103.99999999997362,-2.0799999999994725,0.36
2024-06,W1,44,12,32,-175.99999999997635,-3.9999999999994627,0.2727272727272727
2024-07,W1,64,21,43,-177.999999999966,-2.781249999999469,0.328125
2024-08,W1,76,32,44,-55.99999999996044,-0.7368421052626374,0.42105263157894735
2024-09,W1,82,38,44,16.00000000004229,0.19512195122002796,0.4634146341463415
2024-10,W1,69,30,39,-29.99999999996419,-0.4347826086951332,0.43478260869565216
2024-11,W1,73,26,47,-157.99999999996146,-2.164383561643308,0.3561643835616438
2024-12,W1,76,39,37,98.00000000003877,1.2894736842110364,0.5131578947368421
