month,C101_trades,C101_sum_pnl_pips,C101_avg_pnl_pips,C101_winrate,C102_trades,C102_sum_pnl_pips,C102_avg_pnl_pips,C102_winrate,delta_sum_pnl_pips,delta_trades
2025-01,18,-47.99999999999045,-2.6666666666661363,0.3333333333333333,85,8.000000000043883,0.0941176470593398,0.4588235294117647,56.00000000003433,67.0
2025-02,19,-79.99999999998977,-4.210526315788935,0.2631578947368421,67,-31.999999999965212,-0.4776119402979882,0.4328358208955223,48.000000000024556,48.0
2025-03,28,-103.999999999985,-3.7142857142851784,0.2857142857142857,75,-1.9999999999612328,-0.0266666666661497,0.4533333333333333,102.00000000002376,47.0
2025-04,20,-89.9999999999892,-4.49999999999946,0.25,75,-177.99999999996032,-2.373333333332804,0.3466666666666667,-87.99999999997112,55.0
2025-05,34,-53.99999999998215,-1.588235294117122,0.3823529411764705,83,-59.9999999999568,-0.7228915662645398,0.4216867469879518,-5.999999999974648,49.0
2025-06,36,-7.999999999981355,-0.2222222222217043,0.4444444444444444,69,36.00000000003547,0.5217391304352966,0.4782608695652174,44.000000000016826,33.0
2025-07,48,4.000000000024784,0.0833333333338496,0.4583333333333333,68,-85.99999999996442,-1.264705882352418,0.3970588235294117,-89.9999999999892,20.0
2025-08,27,-5.9999999999860165,-0.2222222222217043,0.4444444444444444,67,56.00000000003433,0.8358208955229005,0.4925373134328358,62.00000000002035,40.0
2025-09,34,-9.99999999998238,-0.2941176470583052,0.4411764705882353,58,-29.999999999969873,-0.5172413793098254,0.4310344827586206,-19.999999999987494,24.0
2025-10,48,4.000000000024784,0.0833333333338496,0.4583333333333333,80,14.000000000041268,0.1750000000005158,0.4625,10.000000000016485,32.0
2025-11,31,42.0000000000158,1.354838709677929,0.5161290322580645,58,-7.999999999969987,-0.1379310344822411,0.4482758620689655,-49.99999999998579,27.0
2025-12,15,26.000000000007617,1.7333333333338412,0.5333333333333333,28,28.000000000014325,1.0000000000005116,0.5,2.0000000000067075,13.0
